Countries,2023 Jan,2022 Dec,2022 Nov,2022 Oct,2022 Sep,2022 Aug,2022 Jul,2022 Jun,2022 May,2022 Apr,2022 Mar,2022 Feb,2022 Jan,2021 Dec,2021 Nov,2021 Oct,2021 Sep,2021 Aug,2021 Jul,2021 Jun,2021 May,2021 Apr,2021 Mar,2021 Feb,2021 Jan,2020 Dec,2020 Nov,2020 Oct,2020 Sep,2020 Aug,2020 Jul,2020 Jun,2020 May,2020 Apr,2020 Mar,2020 Feb,2020 Jan
  Ecuador ,"4,500","4,475","2,745","4,893","2,522","1,931","2,226","5,653","4,066","3,323","3,042","4,001","17,491","6,297","4,453","3,919","3,749","2,676","50,099","1,103","27,077","2,163","3,410","2,436","3,056","3,436","5,098","4,093","1,945","4,220","2,131","2,190","1,565","1,581","4,232","2,353","2,066"
  Mexico ,"217,266","277,739","242,881","272,680","263,872","247,995","402,686","301,939","274,105","245,392","237,988","183,348","201,662","435,468","271,087","266,843","228,508","218,577","263,102","290,019","301,806","301,539","281,681","206,715","276,223","217,586","356,379","327,607","300,973","249,672","262,102","221,919","213,546","225,541","266,785","240,158","276,701"
  Paraguay ,119,681,281,487,235,513,423,832,945,422,557,404,172,341,185,464,550,663,327,396,232,402,291,34,359,127,66,134,215,102,126,169,47,4,190,132,96
  Peru ,"3,433","3,464","2,155","11,670","14,741","1,888","3,042","12,092","7,394","1,267","1,044",846,"1,656","3,061","1,570","1,279",898,946,"5,178","2,167","1,527","1,088","1,386","1,472","1,340","3,387","5,008","9,386","12,164","3,067","2,521","1,455",981,"2,908","1,935","2,485","3,375"
  Uruguay ,654,635,779,"1,123","3,311",806,"5,398","1,982","27,476","2,387","130,093","3,137","15,600","2,479","2,914","2,290","1,344","1,076",837,"1,879","1,146",516,"2,554",925,365,"1,254",996,544,99,13,"1,695","1,849","1,334","1,991","1,136",543,"1,205"
  Venezuela ,51,89,720,885,238,803,442,251,113,140,4,17,38,0,0,3,8,8,421,241,148,74,22,217,39,128,70,7,37,9,29,34,87,27,91,135,"1,266"
  Netherlands Antilles ,0,0,0,0,0,0,0,0,0,3,5,5,0,1,0,2,0,0,0,4,0,0,0,2,6,89,18,77,80,166,2,49,26,18,30,"43,018",32
  Panama ,419,127,116,175,328,424,131,403,337,327,193,29,102,"2,090",354,335,265,138,787,275,110,149,273,221,307,193,"2,139",560,83,137,67,162,"1,300","1,549",241,366,691
  Bahamas ,0,11,4,4,4,0,6,"14,704",11,2,0,6,47,"7,294",3,1,"20,616",0,"29,503",2,3,"33,298",17,0,"118,553",0,"152,881",54,"13,702","6,173","63,061",20,1,31,8,"37,085",0
  Bermuda ,0,0,4,0,3,2,1,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,5,5,1,0,2,0,0,0,0,0,81
  French Guiana ,187,123,517,"12,899",296,431,359,195,122,36,2,930,14,0,183,73,0,0,27,6,496,44,83,9,65,734,0,36,"3,278",456,"1,008",38,9,10,0,0,7
  Grenada ,2,6,19,1,3,8,0,13,1,2,41,18,2,2,15,2,7,8,1,1,14,0,0,4,41,0,0,1,0,0,0,14,0,17,4,0,5
  Guatemala ,692,570,997,262,926,"2,170","3,463","1,168","2,804","1,381","1,931","1,895","1,603",691,"1,026","1,756",896,"1,068","2,075","2,754","5,253","3,219","7,569","5,319","3,474","2,526","1,812","1,603","1,393","1,694","3,802","1,020","1,487",447,"8,961","8,087","1,663"
  Honduras ,776,"1,457",838,706,432,793,780,228,238,443,320,253,274,730,366,566,763,367,561,668,296,214,359,172,180,187,149,153,537,358,69,194,277,252,260,179,249
  Jamaica ,274,93,117,61,493,137,24,96,47,125,44,104,44,104,184,83,55,34,131,51,53,200,39,39,155,116,13,49,64,34,20,110,74,31,16,23,94
  St Vincent & The Grenadines ,3,0,0,2,21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,41,1,0,0,6,0,2,0,0,4,0,0,0,4,1,3
  Trinidad & Tobago ,119,64,"2,854",31,58,"80,568","3,033",73,47,55,24,30,68,44,27,189,80,89,51,58,51,56,115,43,29,"29,405",11,10,69,32,50,609,41,52,77,27,26
  Anguilla ,0,0,0,1,0,9,0,2,1,4,1,1,2,9,2,2,4,1,1,1,28,1,2,2,3,32,0,1,1,8,3,1,3,2,1,0,3
  Other Countries In America ,"37,895","37,931","43,918","44,771","35,101","40,996","40,731","62,285","63,491","35,968","29,530","25,285","24,530","28,323","25,305","24,972","25,131","24,548","26,480","28,692","26,278","24,297","25,103","30,652","19,976","33,069","35,781","25,052","23,355","22,820","84,917","15,341","19,064","26,879","39,133","29,091","29,935"
  Australia ,"869,481","1,253,373","577,829","1,246,296","1,447,901","696,980","924,529","1,020,536","977,494","1,454,940","759,708","744,590","682,538","639,275","825,231","860,118","528,741","570,750","1,056,177","742,066","840,448","929,295","1,015,957","1,077,095","634,384","432,820","1,279,412","522,414","359,877","457,100","380,570","330,132","328,456","480,764","743,553","500,418","695,463"
  Fiji ,452,243,191,170,498,185,601,320,458,379,634,215,470,81,239,662,30,19,185,6,277,193,338,256,8,164,453,686,115,18,171,118,30,106,549,119,265
  Nauru ,82,14,0,0,8,0,0,18,262,0,543,20,10,5,0,1,2,0,0,25,50,0,48,15,14,48,7,11,0,0,71,0,0,0,33,94,4
  New Caledonia ,53,18,256,14,262,186,25,10,102,5,92,59,22,28,68,127,31,87,"4,292",385,139,80,84,25,79,42,156,6,24,3,171,187,4,0,5,63,30
  New Zealand ,"105,961","122,266","72,677","72,719","79,919","133,089","97,855","102,003","155,635","92,299","84,730","55,143","115,683","87,492","85,048","84,332","56,207","90,645","67,151","78,315","88,947","60,885","71,214","47,573","62,306","92,235","123,931","44,728","91,438","62,094","98,929","73,899","91,166","70,052","100,199","71,785","121,022"
  Papua New Guinea ,"6,523","23,124","12,724","10,221","14,332","104,656","21,087","15,351","27,361","10,765","16,279","13,742","10,972","14,981","82,962","74,860","13,015","71,162","72,611","68,957","71,370","37,545","42,577","3,669","7,692","11,259","2,904","4,994","19,019","58,693","10,878","51,298","21,622","86,087","1,323","121,520","1,883"
  Cocos (Keeling) Islands ,258,2,0,2,0,7,1,0,0,1,14,0,3,8,1,3,2,7,7,3,0,37,26,3,15,0,0,1,0,2,17,34,39,4,1,0,113
  French Southern Territories ,0,46,99,115,242,8,4,1,83,7,9,32,258,3,22,7,0,0,2,40,0,118,10,105,4,2,5,377,122,354,323,37,0,20,0,0,0
  Norfolk Island ,59,1,0,0,0,101,0,9,70,57,0,11,23,0,0,0,0,1,0,3,0,21,0,16,0,0,0,0,0,18,12,89,0,0,0,87,89
  Cook Islands ,0,0,0,0,23,0,0,1,83,17,0,0,0,0,14,10,5,4,1,28,3,1,0,0,0,0,0,0,0,0,153,0,0,1,4,1,6
  French Polynesia ,90,210,35,60,37,38,493,"2,730","2,894",141,50,40,58,"2,464",13,154,265,9,59,19,162,"1,992",263,74,117,103,432,91,9,"2,580",230,7,16,6,176,42,64
