Countries,2023 Jan,2022 Dec,2022 Nov,2022 Oct,2022 Sep,2022 Aug,2022 Jul,2022 Jun,2022 May,2022 Apr,2022 Mar,2022 Feb,2022 Jan,2021 Dec,2021 Nov,2021 Oct,2021 Sep,2021 Aug,2021 Jul,2021 Jun,2021 May,2021 Apr,2021 Mar,2021 Feb,2021 Jan,2020 Dec,2020 Nov,2020 Oct,2020 Sep,2020 Aug,2020 Jul,2020 Jun,2020 May,2020 Apr,2020 Mar,2020 Feb,2020 Jan
  Cyprus ,"63,150","48,818","57,791","62,302","64,638","70,390","68,329","98,984","49,038","77,063","66,532","50,104","34,039","55,594","61,713","55,910","46,083","54,483","45,808","49,151","46,188","51,901","39,983","44,782","44,062","38,907","35,983","38,810","39,090","41,801","46,588","34,166","30,208","36,201","47,855","70,001","79,656"
  Iran (Islamic Republic Of) ,"1,725",510,"1,091","2,586",548,810,374,"1,091","2,358","2,115",462,"1,239","1,140","2,457","1,424","1,433","1,891","1,608","1,778","2,328","1,728",581,510,"1,679",301,"1,190","1,709","2,557","4,118","2,460","4,513","4,725","5,804",915,"3,127",546,"2,391"
  Israel ,"60,687","105,746","122,699","78,544","111,282","138,756","153,543","116,551","130,846","123,517","106,120","82,905","97,565","130,817","113,756","84,731","86,316","115,120","77,433","120,143","65,197","79,422","109,961","186,911","145,386","79,428","60,733","82,054","70,195","69,972","93,102","67,597","70,264","58,873","76,531","108,427","64,986"
  Jordan ,"11,773","15,012","8,410","7,316","7,608","9,380","12,002","10,111","5,789","9,218","10,855","6,404","9,224","15,098","6,128","7,591","5,291","4,202","9,055","7,550","3,120","8,821","5,623","7,352","4,642","7,080","7,975","4,568","37,262","5,001","5,314","4,129","3,496","4,592","5,108","4,285","3,607"
  Kuwait ,"33,302","46,086","44,896","40,943","42,895","34,121","20,377","19,183","15,363","13,101","21,471","13,719","37,106","32,896","38,914","13,755","21,588","16,190","9,466","15,099","12,215","42,301","20,144","14,284","40,434","11,378","13,515","25,257","12,156","14,994","15,602","14,177","11,364","11,703","18,219","12,828","24,722"
  Lebanon ,"6,416","1,729","2,798","1,148","1,082","1,380","1,505","2,059","1,597","1,722","1,856",987,"2,256","1,301","1,632","1,318","1,570","1,655","1,489","1,817","1,542","2,591","1,659","2,917","2,346","2,163","2,112","1,274","3,173","1,963","2,093","1,305","3,210","3,193","2,544","4,736","1,618"
  Oman ,"23,498","18,234","16,674","45,914","19,112","68,168","78,456","19,072","15,375","80,599","73,446","59,577","117,675","20,113","14,912","71,116","50,629","11,570","11,256","31,387","14,778","14,049","25,174","17,307","35,671","15,487","12,243","20,751","18,949","16,117","33,286","29,861","17,031","15,543","24,086","46,235","13,934"
  Qatar ,"85,884","64,520","172,041","99,750","95,392","101,056","96,592","91,131","95,147","83,902","106,031","92,609","56,135","73,090","84,556","104,376","85,148","72,064","72,604","91,253","67,345","91,589","116,734","73,835","79,839","50,873","47,072","142,721","59,239","44,457","59,271","33,201","25,870","39,314","232,164","86,612","63,229"
  Saudi Arabia ,"103,332","102,899","106,397","242,241","310,368","119,219","131,655","99,753","87,918","92,988","101,324","68,465","92,452","94,612","88,761","88,324","159,552","185,671","76,219","95,390","72,854","72,107","82,898","121,528","138,420","117,440","130,643","383,010","279,326","119,236","146,683","128,019","76,943","84,083","90,619","115,931","109,237"
  Syrian Arab Republic ,27,260,62,116,85,0,147,84,0,54,88,839,54,0,263,576,52,488,243,0,260,836,0,12,124,1,256,6,296,647,680,"1,525","1,977",42,757,"1,046",218
  United Arab Emirates ,"612,049","625,765","901,306","573,275","813,202","975,155","586,314","456,655","735,218","530,153","675,048","505,840","810,537","504,715","572,477","490,172","487,901","367,587","345,748","431,532","353,291","418,939","529,311","529,671","362,485","386,777","386,238","359,902","319,082","424,018","269,358","261,461","190,829","219,470","411,904","524,626","457,369"
  Yemen ,"1,090",566,"1,322",700,"1,464","1,463",567,"1,060",294,351,"1,368","1,326",889,"1,590",594,694,"1,096","1,509",619,"1,093",905,"1,687","1,737","1,024","2,760",585,"1,927","2,007","1,350",330,"1,444",681,640,861,"3,334","1,554",720
  Yemen Democratic ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Canada ,"102,223","113,586","96,999","110,044","134,488","131,512","98,556","117,975","135,649","135,415","100,621","134,416","120,336","121,091","100,868","162,562","102,241","64,976","70,533","64,928","56,833","73,612","81,613","53,698","57,019","138,534","220,004","76,252","62,009","75,216","62,895","93,620","53,696","99,261","92,034","347,609","206,609"
  Puerto Rico ,"72,276","4,234","56,271","49,109","74,606","32,665","88,272","88,641","68,112","44,964","72,734","42,760","61,126","50,839","71,697","58,921","66,397","61,679","153,908","202,000","174,375","204,614","53,094","174,228","119,996","21,145","98,322","75,095","58,576","108,383","86,994","101,227","213,163","214,925","126,074","141,569","210,260"
  United States ,"4,266,107","4,671,228","4,787,358","5,070,780","5,278,523","6,094,432","4,854,897","5,413,551","4,487,599","5,451,780","6,504,517","4,036,717","5,127,133","4,684,874","4,604,658","4,433,961","4,361,404","4,240,841","3,923,594","4,191,522","4,520,742","4,298,002","4,526,456","3,789,887","3,808,376","4,720,384","4,297,062","4,051,550","3,842,487","3,846,306","5,935,191","4,015,195","4,933,943","5,439,082","4,782,306","4,258,825","3,929,020"
  Argentina ,"17,687","22,119","20,687","23,605","52,858","43,246","14,329","19,515","20,947","19,646","21,158","17,621","21,644","20,157","14,505","19,245","14,142","30,823","15,396","14,710","12,881","9,823","27,130","25,397","15,448","13,991","24,262","24,618","19,813","18,869","22,679","17,948","8,026","19,985","9,210","14,307","21,408"
  Brazil ,"331,499","227,374","170,736","202,358","274,320","258,914","215,066","262,228","223,271","226,969","247,555","224,065","241,165","213,101","208,240","189,878","237,400","222,820","172,383","148,807","166,752","182,993","153,024","135,666","133,207","123,050","120,289","164,933","153,143","151,182","155,958","155,885","148,795","118,918","155,337","148,178","140,481"
  Chile ,"45,022","8,570","8,683","7,161","44,538","12,651","45,894","13,614","10,700","15,877","9,391","7,132","44,153","11,418","8,008","9,500","8,571","7,373","8,260","9,418","9,304","8,803","11,969","10,479","37,295","9,352","39,681","8,325","8,011","9,114","7,410","45,535","17,493","41,143","7,821","7,761","7,662"
  Colombia ,"12,182","12,036","13,459","16,109","20,157","17,219","12,527","16,538","21,873","12,163","14,728","11,796","12,948","17,770","10,298","9,976","8,408","14,789","9,625","11,034","8,745","9,633","12,873","6,364","8,665","5,912","8,180","7,973","6,980","7,655","6,075","9,394","6,001","8,058","11,027","10,956","7,089"
  Ecuador ,"7,383","7,249","6,212","6,672","11,642","10,004","6,480","8,296","6,320","8,359","7,893","4,926","6,781","35,531","40,022","7,273","4,676","4,689","8,489","4,785","4,955","4,006","4,695","6,047","4,126","2,958","5,051","23,623","5,932","5,163","2,188","4,438","3,799","5,059","3,880","4,424","5,009"
  Mexico ,"214,294","224,874","277,119","282,600","231,403","258,392","374,213","277,688","233,505","221,708","225,644","200,534","212,582","249,178","191,192","208,634","218,560","233,421","209,944","160,101","144,758","159,720","165,516","110,962","131,358","142,122","119,971","162,314","146,966","147,966","165,632","125,643","108,984","164,619","209,119","142,174","133,156"
  Paraguay ,105,563,626,987,"1,297",283,222,"1,521",523,494,419,382,"1,677",713,"1,007",726,148,443,664,429,371,"1,663",385,457,484,"2,166",600,445,"1,032",985,411,233,955,308,194,809,306
  Peru ,"8,696","11,791","8,651","7,898","10,393","9,050","9,116","11,348","9,728","9,506","7,640","11,823","8,443","11,564","12,624","7,368","8,286","11,184","8,858","7,252","6,540","4,768","8,272","5,422","6,264","6,953","9,320","16,089","4,889","5,884","5,655","7,489","7,726","5,264","6,874","7,514","6,536"
  Uruguay ,"2,108","3,822",947,"1,885",969,"2,100","2,455","1,693","2,026","1,239",931,"1,558","1,943","1,117","1,578",718,"1,663",882,"1,731","1,047",858,690,"1,942",453,"1,010",567,"1,025","1,782",886,"1,454","1,179",663,933,394,"1,159",443,"1,250"
  Venezuela ,303,39,482,676,64,136,261,28,180,438,369,109,285,76,882,31,"1,181",17,215,74,105,949,37,8,"3,395",15,131,26,7,52,5,149,417,179,214,464,99
  Australia ,"1,564,793","1,711,317","1,794,035","1,628,700","1,923,247","2,060,828","2,252,228","2,215,085","1,941,642","2,138,137","2,063,439","1,492,564","1,650,218","1,759,211","1,824,798","1,510,286","1,587,352","1,659,399","1,444,302","1,676,135","1,387,861","1,229,534","1,420,177","1,027,770","975,143","939,170","956,920","985,939","1,016,997","1,096,371","1,061,895","859,951","888,542","926,290","972,067","1,077,157","1,016,684"
  Fiji ,"57,785","71,371","55,584","70,864","89,525","49,089","66,873","89,238","59,035","74,612","24,209","21,832","43,159","58,122","39,716","40,389","30,128","31,260","22,251","20,468","22,773","24,202","31,451","18,581","30,987","26,368","19,664","28,793","15,985","25,587","20,346","6,491","12,803","9,596","20,460","48,420","28,670"
  New Caledonia ,"68,169","32,546","15,556","38,811","29,359","39,826","53,846","45,761","99,705","38,537","40,725","25,375","47,347","21,028","26,316","60,672","44,418","42,555","17,926","7,741","27,720","27,699","14,599","24,788","21,302","47,804","10,242","14,542","23,293","27,640","32,070","14,685","20,441","7,094","29,736","35,384","29,838"
