Consumer Items,Date,Values
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2013 Dec,13.1
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2013 Dec,na
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2013 Dec,2.8
Medium Prawns (Per Kilogram) (Dollar),2013 Dec,18.4
Mee Rebus (Per Bowl) (Dollar),2013 Dec,na
"Mutton, Chilled (Per Kilogram) (Dollar)",2013 Dec,17.8
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2013 Dec,2.5
Orange (Each) (Dollar),2013 Dec,0.4
Ordinary White Bread (Per 400 Gram) (Dollar),2013 Dec,1.5
Papaya (Per Kilogram) (Dollar),2013 Dec,2
Pear (Each) (Dollar),2013 Dec,0.9
"Petrol, 92 Octane (Per Litre) (Dollar)",2013 Dec,2
"Petrol, 95 Octane (Per Litre) (Dollar)",2013 Dec,2.1
"Petrol, 98 Octane (Per Litre) (Dollar)",2013 Dec,2.2
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2013 Dec,16.1
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2013 Dec,na
Potatoes (Per Kilogram) (Dollar),2013 Dec,1.9
Premium Thai Rice (Per 5 Kilogram) (Dollar),2013 Dec,12.8
Roti Prata (Plain) (Per Piece) (Dollar),2013 Dec,na
Salmon (Per Kilogram) (Dollar),2013 Dec,26.4
Sea Bass (Per Kilogram) (Dollar),2013 Dec,11.7
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2013 Dec,8.5
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2013 Dec,3.5
Small Prawns (Per Kilogram) (Dollar),2013 Dec,12.7
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2013 Dec,11
Spinach (Bayam) (Per Kilogram) (Dollar),2013 Dec,3.2
Squids (Per Kilogram) (Dollar),2013 Dec,11.9
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2013 Dec,14.7
Threadfin (Kurau) (Per Kilogram) (Dollar),2013 Dec,48.3
Tomatoes (Per Kilogram) (Dollar),2013 Dec,2
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2013 Dec,1.8
Watermelon (Per Kilogram) (Dollar),2013 Dec,1.5
White Pomfret (Per Kilogram) (Dollar),2013 Dec,25.2
White Sugar (Per 2 Kilogram) (Dollar),2013 Dec,3.2
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2013 Dec,6.1
Wholemeal Bread (Per 400 Gram) (Dollar),2013 Dec,na
Aerated Soft Drinks (Per 4 Cans) (Dollar),2013 Nov,na
Apple (Each) (Dollar),2013 Nov,0.4
Bananas (Per Kilogram) (Dollar),2013 Nov,2
"Beef, Chilled (Per Kilogram) (Dollar)",2013 Nov,na
Beer (Per 6 Cans) (Dollar),2013 Nov,na
Broccoli (Per Kilogram) (Dollar),2013 Nov,7.3
Cabbage (Per Kilogram) (Dollar),2013 Nov,2
Carrots (Per Kilogram) (Dollar),2013 Nov,2
Cheese (Per 12 Slices) (Dollar),2013 Nov,4.8
Chicken Nasi Briyani (Per Plate) (Dollar),2013 Nov,na
Chicken Rice (Per Plate) (Dollar),2013 Nov,na
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2013 Nov,na
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2013 Nov,4.3
Cigarettes (Per Pack) (Dollar),2013 Nov,10.8
Cod Fish (Per Kilogram) (Dollar),2013 Nov,49.7
Coffee/Tea With Milk (Per Cup) (Dollar),2013 Nov,na
Coffee/Tea Without Milk (Per Cup) (Dollar),2013 Nov,na
Cooking Oil (Per 2 Kilogram) (Dollar),2013 Nov,5.8
Diesel (Per Litre) (Dollar),2013 Nov,1.5
"Duck, Chilled (Per Kilogram) (Dollar)",2013 Nov,6.8
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2013 Nov,na
Fishball Noodle (Per Bowl) (Dollar),2013 Nov,na
Flowery Grouper (Per Kilogram) (Dollar),2013 Nov,14.1
Fresh Milk (Per Litre) (Dollar),2013 Nov,3
Fried Carrot Cake (Per Plate) (Dollar),2013 Nov,na
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2013 Nov,6.6
Golden Snapper (Per Kilogram) (Dollar),2013 Nov,17.2
Grapes (Per Kilogram) (Dollar),2013 Nov,8.9
Hen Eggs (Per 10) (Dollar),2013 Nov,2
Ice Kachang (Per Bowl) (Dollar),2013 Nov,na
Infant Milk Powder (Per 100 Gram) (Dollar),2013 Nov,5.2
Instant Coffee (Per 200 Gram) (Dollar),2013 Nov,9.9
Instant Noodles (Per 5 Packets) (Dollar),2013 Nov,2.3
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2013 Nov,13.2
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2013 Nov,na
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2013 Nov,2.5
Medium Prawns (Per Kilogram) (Dollar),2013 Nov,17.9
Mee Rebus (Per Bowl) (Dollar),2013 Nov,na
"Mutton, Chilled (Per Kilogram) (Dollar)",2013 Nov,17.8
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2013 Nov,2.5
Orange (Each) (Dollar),2013 Nov,0.4
Ordinary White Bread (Per 400 Gram) (Dollar),2013 Nov,1.5
Papaya (Per Kilogram) (Dollar),2013 Nov,2
Pear (Each) (Dollar),2013 Nov,1
"Petrol, 92 Octane (Per Litre) (Dollar)",2013 Nov,2
"Petrol, 95 Octane (Per Litre) (Dollar)",2013 Nov,2
"Petrol, 98 Octane (Per Litre) (Dollar)",2013 Nov,2.2
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2013 Nov,16.5
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2013 Nov,na
Potatoes (Per Kilogram) (Dollar),2013 Nov,1.9
Premium Thai Rice (Per 5 Kilogram) (Dollar),2013 Nov,13
Roti Prata (Plain) (Per Piece) (Dollar),2013 Nov,na
Salmon (Per Kilogram) (Dollar),2013 Nov,26.4
Sea Bass (Per Kilogram) (Dollar),2013 Nov,12.2
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2013 Nov,8.5
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2013 Nov,3
Small Prawns (Per Kilogram) (Dollar),2013 Nov,12.2
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2013 Nov,11
Spinach (Bayam) (Per Kilogram) (Dollar),2013 Nov,2.8
Squids (Per Kilogram) (Dollar),2013 Nov,11.8
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2013 Nov,14.9
Threadfin (Kurau) (Per Kilogram) (Dollar),2013 Nov,46.5
Tomatoes (Per Kilogram) (Dollar),2013 Nov,1.9
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2013 Nov,1.7
Watermelon (Per Kilogram) (Dollar),2013 Nov,1.5
White Pomfret (Per Kilogram) (Dollar),2013 Nov,24.8
White Sugar (Per 2 Kilogram) (Dollar),2013 Nov,3.2
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2013 Nov,6.1
Wholemeal Bread (Per 400 Gram) (Dollar),2013 Nov,na
Aerated Soft Drinks (Per 4 Cans) (Dollar),2013 Oct,na
Apple (Each) (Dollar),2013 Oct,0.4
Bananas (Per Kilogram) (Dollar),2013 Oct,2
"Beef, Chilled (Per Kilogram) (Dollar)",2013 Oct,na
Beer (Per 6 Cans) (Dollar),2013 Oct,na
Broccoli (Per Kilogram) (Dollar),2013 Oct,6.9
Cabbage (Per Kilogram) (Dollar),2013 Oct,1.9
Carrots (Per Kilogram) (Dollar),2013 Oct,2
Cheese (Per 12 Slices) (Dollar),2013 Oct,4.9
Chicken Nasi Briyani (Per Plate) (Dollar),2013 Oct,na
Chicken Rice (Per Plate) (Dollar),2013 Oct,na
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2013 Oct,na
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2013 Oct,4.3
Cigarettes (Per Pack) (Dollar),2013 Oct,10.8
Cod Fish (Per Kilogram) (Dollar),2013 Oct,49.5
Coffee/Tea With Milk (Per Cup) (Dollar),2013 Oct,na
Coffee/Tea Without Milk (Per Cup) (Dollar),2013 Oct,na
Cooking Oil (Per 2 Kilogram) (Dollar),2013 Oct,5.8
Diesel (Per Litre) (Dollar),2013 Oct,1.5
"Duck, Chilled (Per Kilogram) (Dollar)",2013 Oct,6.9
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2013 Oct,na
Fishball Noodle (Per Bowl) (Dollar),2013 Oct,na
Flowery Grouper (Per Kilogram) (Dollar),2013 Oct,14.5
Fresh Milk (Per Litre) (Dollar),2013 Oct,2.9
Fried Carrot Cake (Per Plate) (Dollar),2013 Oct,na
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2013 Oct,6.5
Golden Snapper (Per Kilogram) (Dollar),2013 Oct,17.4
Grapes (Per Kilogram) (Dollar),2013 Oct,8.9
Hen Eggs (Per 10) (Dollar),2013 Oct,2
Ice Kachang (Per Bowl) (Dollar),2013 Oct,na
Infant Milk Powder (Per 100 Gram) (Dollar),2013 Oct,5.1
Instant Coffee (Per 200 Gram) (Dollar),2013 Oct,10
Instant Noodles (Per 5 Packets) (Dollar),2013 Oct,2.3
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2013 Oct,13.2
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2013 Oct,na
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2013 Oct,2.5
Medium Prawns (Per Kilogram) (Dollar),2013 Oct,17.6
Mee Rebus (Per Bowl) (Dollar),2013 Oct,na
"Mutton, Chilled (Per Kilogram) (Dollar)",2013 Oct,17.8
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2013 Oct,2.5
Orange (Each) (Dollar),2013 Oct,0.4
Ordinary White Bread (Per 400 Gram) (Dollar),2013 Oct,1.5
Papaya (Per Kilogram) (Dollar),2013 Oct,2
Pear (Each) (Dollar),2013 Oct,0.9
"Petrol, 92 Octane (Per Litre) (Dollar)",2013 Oct,2
"Petrol, 95 Octane (Per Litre) (Dollar)",2013 Oct,2.1
"Petrol, 98 Octane (Per Litre) (Dollar)",2013 Oct,2.2
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2013 Oct,16.2
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2013 Oct,na
Potatoes (Per Kilogram) (Dollar),2013 Oct,1.8
Premium Thai Rice (Per 5 Kilogram) (Dollar),2013 Oct,13
Roti Prata (Plain) (Per Piece) (Dollar),2013 Oct,na
Salmon (Per Kilogram) (Dollar),2013 Oct,26.3
Sea Bass (Per Kilogram) (Dollar),2013 Oct,12.1
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2013 Oct,8.5
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2013 Oct,3
Small Prawns (Per Kilogram) (Dollar),2013 Oct,11.9
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2013 Oct,11.1
Spinach (Bayam) (Per Kilogram) (Dollar),2013 Oct,2.6
Squids (Per Kilogram) (Dollar),2013 Oct,11.6
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2013 Oct,14.7
Threadfin (Kurau) (Per Kilogram) (Dollar),2013 Oct,46.5
Tomatoes (Per Kilogram) (Dollar),2013 Oct,1.7
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2013 Oct,1.7
Watermelon (Per Kilogram) (Dollar),2013 Oct,1.6
White Pomfret (Per Kilogram) (Dollar),2013 Oct,24.5
White Sugar (Per 2 Kilogram) (Dollar),2013 Oct,3.3
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2013 Oct,6.1
Wholemeal Bread (Per 400 Gram) (Dollar),2013 Oct,na
Aerated Soft Drinks (Per 4 Cans) (Dollar),2013 Sep,na
Apple (Each) (Dollar),2013 Sep,0.4
Bananas (Per Kilogram) (Dollar),2013 Sep,1.8
"Beef, Chilled (Per Kilogram) (Dollar)",2013 Sep,na
Beer (Per 6 Cans) (Dollar),2013 Sep,na
Broccoli (Per Kilogram) (Dollar),2013 Sep,7
Cabbage (Per Kilogram) (Dollar),2013 Sep,2
Carrots (Per Kilogram) (Dollar),2013 Sep,2
Cheese (Per 12 Slices) (Dollar),2013 Sep,4.8
Chicken Nasi Briyani (Per Plate) (Dollar),2013 Sep,na
Chicken Rice (Per Plate) (Dollar),2013 Sep,na
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2013 Sep,na
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2013 Sep,4.3
Cigarettes (Per Pack) (Dollar),2013 Sep,10.9
Cod Fish (Per Kilogram) (Dollar),2013 Sep,49.9
Coffee/Tea With Milk (Per Cup) (Dollar),2013 Sep,na
Coffee/Tea Without Milk (Per Cup) (Dollar),2013 Sep,na
Cooking Oil (Per 2 Kilogram) (Dollar),2013 Sep,5.7
Diesel (Per Litre) (Dollar),2013 Sep,1.5
"Duck, Chilled (Per Kilogram) (Dollar)",2013 Sep,6.9
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2013 Sep,na
Fishball Noodle (Per Bowl) (Dollar),2013 Sep,na
Flowery Grouper (Per Kilogram) (Dollar),2013 Sep,15
Fresh Milk (Per Litre) (Dollar),2013 Sep,3
Fried Carrot Cake (Per Plate) (Dollar),2013 Sep,na
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2013 Sep,6.6
Golden Snapper (Per Kilogram) (Dollar),2013 Sep,18.1
Grapes (Per Kilogram) (Dollar),2013 Sep,8.6
Hen Eggs (Per 10) (Dollar),2013 Sep,2
Ice Kachang (Per Bowl) (Dollar),2013 Sep,na
Infant Milk Powder (Per 100 Gram) (Dollar),2013 Sep,5
Instant Coffee (Per 200 Gram) (Dollar),2013 Sep,9.9
Instant Noodles (Per 5 Packets) (Dollar),2013 Sep,2.2
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2013 Sep,13.1
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2013 Sep,na
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2013 Sep,2.5
Medium Prawns (Per Kilogram) (Dollar),2013 Sep,17.5
Mee Rebus (Per Bowl) (Dollar),2013 Sep,na
"Mutton, Chilled (Per Kilogram) (Dollar)",2013 Sep,18
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2013 Sep,2.5
Orange (Each) (Dollar),2013 Sep,0.4
Ordinary White Bread (Per 400 Gram) (Dollar),2013 Sep,1.5
Papaya (Per Kilogram) (Dollar),2013 Sep,2.1
Pear (Each) (Dollar),2013 Sep,1
"Petrol, 92 Octane (Per Litre) (Dollar)",2013 Sep,2
"Petrol, 95 Octane (Per Litre) (Dollar)",2013 Sep,2.1
"Petrol, 98 Octane (Per Litre) (Dollar)",2013 Sep,2.3
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2013 Sep,16.3
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2013 Sep,na
Potatoes (Per Kilogram) (Dollar),2013 Sep,1.8
Premium Thai Rice (Per 5 Kilogram) (Dollar),2013 Sep,12.7
Roti Prata (Plain) (Per Piece) (Dollar),2013 Sep,na
Salmon (Per Kilogram) (Dollar),2013 Sep,26.3
Sea Bass (Per Kilogram) (Dollar),2013 Sep,12.6
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2013 Sep,8.6
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2013 Sep,3.1
Small Prawns (Per Kilogram) (Dollar),2013 Sep,11.8
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2013 Sep,11.2
Spinach (Bayam) (Per Kilogram) (Dollar),2013 Sep,2.7
Squids (Per Kilogram) (Dollar),2013 Sep,12
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2013 Sep,14.7
Threadfin (Kurau) (Per Kilogram) (Dollar),2013 Sep,48
Tomatoes (Per Kilogram) (Dollar),2013 Sep,1.7
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2013 Sep,1.7
Watermelon (Per Kilogram) (Dollar),2013 Sep,1.5
White Pomfret (Per Kilogram) (Dollar),2013 Sep,24.5
White Sugar (Per 2 Kilogram) (Dollar),2013 Sep,3.3
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2013 Sep,6.1
Wholemeal Bread (Per 400 Gram) (Dollar),2013 Sep,na
Aerated Soft Drinks (Per 4 Cans) (Dollar),2013 Aug,na
Apple (Each) (Dollar),2013 Aug,0.4
Bananas (Per Kilogram) (Dollar),2013 Aug,1.8
"Beef, Chilled (Per Kilogram) (Dollar)",2013 Aug,na
Beer (Per 6 Cans) (Dollar),2013 Aug,na
Broccoli (Per Kilogram) (Dollar),2013 Aug,7.1
Cabbage (Per Kilogram) (Dollar),2013 Aug,2
Carrots (Per Kilogram) (Dollar),2013 Aug,2
Cheese (Per 12 Slices) (Dollar),2013 Aug,5.1
Chicken Nasi Briyani (Per Plate) (Dollar),2013 Aug,na
Chicken Rice (Per Plate) (Dollar),2013 Aug,na
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2013 Aug,na
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2013 Aug,4.3
Cigarettes (Per Pack) (Dollar),2013 Aug,10.9
Cod Fish (Per Kilogram) (Dollar),2013 Aug,49.9
Coffee/Tea With Milk (Per Cup) (Dollar),2013 Aug,na
Coffee/Tea Without Milk (Per Cup) (Dollar),2013 Aug,na
Cooking Oil (Per 2 Kilogram) (Dollar),2013 Aug,5.7
Diesel (Per Litre) (Dollar),2013 Aug,1.5
"Duck, Chilled (Per Kilogram) (Dollar)",2013 Aug,6.9
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2013 Aug,na
Fishball Noodle (Per Bowl) (Dollar),2013 Aug,na
Flowery Grouper (Per Kilogram) (Dollar),2013 Aug,14.9
Fresh Milk (Per Litre) (Dollar),2013 Aug,3
Fried Carrot Cake (Per Plate) (Dollar),2013 Aug,na
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2013 Aug,6.7
Golden Snapper (Per Kilogram) (Dollar),2013 Aug,18.3
Grapes (Per Kilogram) (Dollar),2013 Aug,8.3
Hen Eggs (Per 10) (Dollar),2013 Aug,1.9
Ice Kachang (Per Bowl) (Dollar),2013 Aug,na
Infant Milk Powder (Per 100 Gram) (Dollar),2013 Aug,5
Instant Coffee (Per 200 Gram) (Dollar),2013 Aug,10.1
Instant Noodles (Per 5 Packets) (Dollar),2013 Aug,2.1
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2013 Aug,13.1
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2013 Aug,na
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2013 Aug,2.5
Medium Prawns (Per Kilogram) (Dollar),2013 Aug,17.6
Mee Rebus (Per Bowl) (Dollar),2013 Aug,na
"Mutton, Chilled (Per Kilogram) (Dollar)",2013 Aug,18.3
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2013 Aug,2.4
Orange (Each) (Dollar),2013 Aug,0.4
Ordinary White Bread (Per 400 Gram) (Dollar),2013 Aug,1.5
Papaya (Per Kilogram) (Dollar),2013 Aug,2
Pear (Each) (Dollar),2013 Aug,1
"Petrol, 92 Octane (Per Litre) (Dollar)",2013 Aug,2
"Petrol, 95 Octane (Per Litre) (Dollar)",2013 Aug,2.1
"Petrol, 98 Octane (Per Litre) (Dollar)",2013 Aug,2.2
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2013 Aug,16.2
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2013 Aug,na
Potatoes (Per Kilogram) (Dollar),2013 Aug,1.8
Premium Thai Rice (Per 5 Kilogram) (Dollar),2013 Aug,12.6
Roti Prata (Plain) (Per Piece) (Dollar),2013 Aug,na
Salmon (Per Kilogram) (Dollar),2013 Aug,27
Sea Bass (Per Kilogram) (Dollar),2013 Aug,12.5
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2013 Aug,8.5
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2013 Aug,3
Small Prawns (Per Kilogram) (Dollar),2013 Aug,11.6
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2013 Aug,11.2
Spinach (Bayam) (Per Kilogram) (Dollar),2013 Aug,2.6
Squids (Per Kilogram) (Dollar),2013 Aug,12.3
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2013 Aug,14.7
Threadfin (Kurau) (Per Kilogram) (Dollar),2013 Aug,52.6
Tomatoes (Per Kilogram) (Dollar),2013 Aug,2
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2013 Aug,1.7
Watermelon (Per Kilogram) (Dollar),2013 Aug,1.4
White Pomfret (Per Kilogram) (Dollar),2013 Aug,24.4
White Sugar (Per 2 Kilogram) (Dollar),2013 Aug,3.2
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2013 Aug,6
Wholemeal Bread (Per 400 Gram) (Dollar),2013 Aug,na
Aerated Soft Drinks (Per 4 Cans) (Dollar),2013 Jul,na
Apple (Each) (Dollar),2013 Jul,0.4
Bananas (Per Kilogram) (Dollar),2013 Jul,1.8
"Beef, Chilled (Per Kilogram) (Dollar)",2013 Jul,na
Beer (Per 6 Cans) (Dollar),2013 Jul,na
Broccoli (Per Kilogram) (Dollar),2013 Jul,7.1
Cabbage (Per Kilogram) (Dollar),2013 Jul,1.9
Carrots (Per Kilogram) (Dollar),2013 Jul,2
Cheese (Per 12 Slices) (Dollar),2013 Jul,4.8
Chicken Nasi Briyani (Per Plate) (Dollar),2013 Jul,na
Chicken Rice (Per Plate) (Dollar),2013 Jul,na
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2013 Jul,na
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2013 Jul,4.3
Cigarettes (Per Pack) (Dollar),2013 Jul,10.9
Cod Fish (Per Kilogram) (Dollar),2013 Jul,49.6
Coffee/Tea With Milk (Per Cup) (Dollar),2013 Jul,na
Coffee/Tea Without Milk (Per Cup) (Dollar),2013 Jul,na
Cooking Oil (Per 2 Kilogram) (Dollar),2013 Jul,5.6
Diesel (Per Litre) (Dollar),2013 Jul,1.5
"Duck, Chilled (Per Kilogram) (Dollar)",2013 Jul,6.9
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2013 Jul,na
Fishball Noodle (Per Bowl) (Dollar),2013 Jul,na
Flowery Grouper (Per Kilogram) (Dollar),2013 Jul,14.5
Fresh Milk (Per Litre) (Dollar),2013 Jul,3
Fried Carrot Cake (Per Plate) (Dollar),2013 Jul,na
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2013 Jul,6.5
Golden Snapper (Per Kilogram) (Dollar),2013 Jul,17.5
Grapes (Per Kilogram) (Dollar),2013 Jul,8.3
Hen Eggs (Per 10) (Dollar),2013 Jul,2
Ice Kachang (Per Bowl) (Dollar),2013 Jul,na
Infant Milk Powder (Per 100 Gram) (Dollar),2013 Jul,4.9
Instant Coffee (Per 200 Gram) (Dollar),2013 Jul,9.9
Instant Noodles (Per 5 Packets) (Dollar),2013 Jul,2.2
"Lean Pork, Chilled (Per Kilogram) (Dollar)",2013 Jul,13.1
"Lean Pork, Frozen (Per 500 Gram) (Dollar)",2013 Jul,na
Liquefied Petroleum Gas (LPG) (Per Kilogram) (Dollar),2013 Jul,2.4
Medium Prawns (Per Kilogram) (Dollar),2013 Jul,17.7
Mee Rebus (Per Bowl) (Dollar),2013 Jul,na
"Mutton, Chilled (Per Kilogram) (Dollar)",2013 Jul,18.3
Non-Aerated Soft Drinks (Per 6 Packets) (Dollar),2013 Jul,2.4
Orange (Each) (Dollar),2013 Jul,0.4
Ordinary White Bread (Per 400 Gram) (Dollar),2013 Jul,1.5
Papaya (Per Kilogram) (Dollar),2013 Jul,2
Pear (Each) (Dollar),2013 Jul,1
"Petrol, 92 Octane (Per Litre) (Dollar)",2013 Jul,2
"Petrol, 95 Octane (Per Litre) (Dollar)",2013 Jul,2.1
"Petrol, 98 Octane (Per Litre) (Dollar)",2013 Jul,2.2
"Pork Rib Bones, Chilled (Per Kilogram) (Dollar)",2013 Jul,16.5
"Pork Rib Bones, Frozen (Per 500 Gram) (Dollar)",2013 Jul,na
Potatoes (Per Kilogram) (Dollar),2013 Jul,1.8
Premium Thai Rice (Per 5 Kilogram) (Dollar),2013 Jul,13
Roti Prata (Plain) (Per Piece) (Dollar),2013 Jul,na
Salmon (Per Kilogram) (Dollar),2013 Jul,26.8
Sea Bass (Per Kilogram) (Dollar),2013 Jul,12.4
Sea Bream (Ang Ko Li) (Per Kilogram) (Dollar),2013 Jul,8.3
Small Mustard (Chye Sim) (Per Kilogram) (Dollar),2013 Jul,3
Small Prawns (Per Kilogram) (Dollar),2013 Jul,11.6
Spanish Mackerel (Batang) (Per Kilogram) (Dollar),2013 Jul,11.2
Spinach (Bayam) (Per Kilogram) (Dollar),2013 Jul,2.9
Squids (Per Kilogram) (Dollar),2013 Jul,11.9
"Streaky Pork, Chilled (Per Kilogram) (Dollar)",2013 Jul,14.7
Threadfin (Kurau) (Per Kilogram) (Dollar),2013 Jul,53.4
Tomatoes (Per Kilogram) (Dollar),2013 Jul,2.5
Vitamin Enriched Bread (Per 400 Gram) (Dollar),2013 Jul,1.7
Watermelon (Per Kilogram) (Dollar),2013 Jul,1.5
White Pomfret (Per Kilogram) (Dollar),2013 Jul,24.2
White Sugar (Per 2 Kilogram) (Dollar),2013 Jul,3.3
"Whole Chicken, Chilled (Per Kilogram) (Dollar)",2013 Jul,5.8
Wholemeal Bread (Per 400 Gram) (Dollar),2013 Jul,na
Aerated Soft Drinks (Per 4 Cans) (Dollar),2013 Jun,na
Apple (Each) (Dollar),2013 Jun,0.4
Bananas (Per Kilogram) (Dollar),2013 Jun,1.8
"Beef, Chilled (Per Kilogram) (Dollar)",2013 Jun,na
Beer (Per 6 Cans) (Dollar),2013 Jun,na
Broccoli (Per Kilogram) (Dollar),2013 Jun,7.2
Cabbage (Per Kilogram) (Dollar),2013 Jun,2
Carrots (Per Kilogram) (Dollar),2013 Jun,2
Cheese (Per 12 Slices) (Dollar),2013 Jun,4.7
Chicken Nasi Briyani (Per Plate) (Dollar),2013 Jun,na
Chicken Rice (Per Plate) (Dollar),2013 Jun,na
"Chicken Wing, Chilled (Per Kilogram) (Dollar)",2013 Jun,na
Chinese Kale (Kailan) (Per Kilogram) (Dollar),2013 Jun,4.4
Cigarettes (Per Pack) (Dollar),2013 Jun,10.9
Cod Fish (Per Kilogram) (Dollar),2013 Jun,49.8
Coffee/Tea With Milk (Per Cup) (Dollar),2013 Jun,na
Coffee/Tea Without Milk (Per Cup) (Dollar),2013 Jun,na
Cooking Oil (Per 2 Kilogram) (Dollar),2013 Jun,5.5
Diesel (Per Litre) (Dollar),2013 Jun,1.5
"Duck, Chilled (Per Kilogram) (Dollar)",2013 Jun,7
Economical Rice (1 Meat & 2 Vegetables) (Per Plate) (Dollar),2013 Jun,na
Fishball Noodle (Per Bowl) (Dollar),2013 Jun,na
Flowery Grouper (Per Kilogram) (Dollar),2013 Jun,14.2
Fresh Milk (Per Litre) (Dollar),2013 Jun,2.9
Fried Carrot Cake (Per Plate) (Dollar),2013 Jun,na
Gold Banded Scad (Kuning) (Per Kilogram) (Dollar),2013 Jun,6.4
Golden Snapper (Per Kilogram) (Dollar),2013 Jun,17
Grapes (Per Kilogram) (Dollar),2013 Jun,8.3
Hen Eggs (Per 10) (Dollar),2013 Jun,1.9
Ice Kachang (Per Bowl) (Dollar),2013 Jun,na
Infant Milk Powder (Per 100 Gram) (Dollar),2013 Jun,4.9
